SealID;Segment;d13C;d15N;Nubbin;WhiskerRow;WhiskerColumn;LengthRecovery;DistanceFromTip;DeploymentDate;RecoveryDate;X;Linf;k;DateWhenSegmentGrew;DeploymentDuration;SealDate;SevenDayAvg_d13C;SevenDayAvg_d15N;Lat;Lon;DaysSinceDeployment;Lon360;FiveDayDriftRate;ReprState
4209;3;-17.13;15.14;yes;3;2;8.4;6.5;6/2/2016;1/27/2017;;9.83;0.00806596020873331;10/14/2016;239;4209-2016-10-14;-17.13;15.14;492.996.249.296.755;-131.370.774.111.996;134.201.831.171.286;-131.370.774.111.996;-0.197319230769231;Pregnant
4209;2;-17.18;15.1;yes;3;2;8.4;6.9;6/2/2016;1/27/2017;;9.83;0.00806596020873331;10/30/2016;239;4209-2016-10-30;-17.18;15.1;51.208.259.211.187;-132.374.097.733.356;150.067.255.454.535;-132.374.097.733.356;-0.205160714285714;Pregnant
4209;12;-16.78;16.05;yes;3;2;8.4;2.7;6/2/2016;1/27/2017;;9.83;0.00806596020873331;7/11/2016;239;4209-2016-07-11;-16.78;16.05;501.291.617.365.081;-131.336.940.697.455;398.127.056.695.852;-131.336.940.697.455;-0.361720779220779;Pregnant
4209;13;-18.37;15.76;yes;3;2;8.4;2.2;6/2/2016;1/27/2017;;9.83;0.00806596020873331;7/3/2016;239;4209-2016-07-03;-18.37;15.76;471.183.374.054.442;-125.451.865.020.889;314.099.105.756.068;-125.451.865.020.889;-0.274733333333333;Pregnant
4209;14;-17.57;15.09;yes;3;2;8.4;1.7;6/2/2016;1/27/2017;;9.83;0.00806596020873331;6/25/2016;239;4209-2016-06-25;-17.6;15.225;419.138.088.309.116;-1.271.819.599.621;235.406.579.856.133;-1.271.819.599.621;-0.250833333333333;Pregnant
4209;15;-17.63;15.36;yes;3;2;8.4;1.3;6/2/2016;1/27/2017;;9.83;0.00806596020873331;6/19/2016;239;4209-2016-06-19;-17.63;15.36;37.350.032.762.111;-125.225.351.685.316;175.861.979.212.253;-125.225.351.685.316;0.00995833333333333;Pregnant
4209;6;-17.4;14.89;yes;3;2;8.4;5.3;6/2/2016;1/27/2017;;9.83;0.00806596020873331;9/6/2016;239;4209-2016-09-06;-17.4;14.89;494.385.920.849.412;-135.383.828.976.147;960.477.084.706.337;-135.383.828.976.147;-0.282202922077922;Pregnant
4209;7;-17.16;15.19;yes;3;2;8.4;4.9;6/2/2016;1/27/2017;;9.83;0.00806596020873331;8/26/2016;239;4209-2016-08-26;-17.16;15.19;500.121.073.941.512;-12.885.035.128.694;855.570.729.641.451;-12.885.035.128.694;-0.249358099906629;Pregnant
4209;4;-17.22;15.18;yes;3;2;8.4;6.1;6/2/2016;1/27/2017;;9.83;0.00806596020873331;9/30/2016;239;4209-2016-09-30;-17.22;15.18;498.678.553.452.159;-132.718.894.198.439;120.138.294.192.693;-132.718.894.198.439;-0.246314536340852;Pregnant
4209;5;-17.24;14.99;yes;3;2;8.4;5.7;6/2/2016;1/27/2017;;9.83;0.00806596020873331;9/17/2016;239;4209-2016-09-17;-17.24;14.99;49.293.118.802.708;-138.134.962.612.298;107.508.778.216.786;-138.134.962.612.298;-0.225866666666667;Pregnant
4209;10;-16.92;15.45;yes;3;2;8.4;3.6;6/2/2016;1/27/2017;;9.83;0.00806596020873331;7/28/2016;239;4209-2016-07-28;-16.92;15.45;487.350.928.615.228;-129.955.213.050.263;56.541.637.890.292;-129.955.213.050.263;-0.340218253968254;Pregnant
4209;8;-17.01;15.28;yes;3;2;8.4;4.5;6/2/2016;1/27/2017;;9.83;0.00806596020873331;8/16/2016;239;4209-2016-08-16;-17.01;15.28;455.652.911.979.359;-125.690.592.163.177;758.852.858.359.753;-125.690.592.163.177;-0.248578754578755;Pregnant
4209;9;-16.81;15.48;yes;3;2;8.4;4.1;6/2/2016;1/27/2017;;9.83;0.00806596020873331;8/7/2016;239;4209-2016-08-07;-16.81;15.48;453.922.114.110.311;-126.275.666.500.416;669.137.200.612.575;-126.275.666.500.416;-0.299156168831169;Pregnant
5572;2;-17.29;15.37;yes;3;2;9.4;8;6/7/2016;2/1/2017;;9.83;0.0130937615249105;10/13/2016;239;5572-2016-10-13;-17.29;15.37;501.184.455.597.194;-142.260.603.434.316;128.391.139.865.153;-142.260.603.434.316;0.0705444444444444;Pregnant
5572;3;-17.54;14.77;yes;3;2;9.4;7.7;6/7/2016;2/1/2017;;9.83;0.0130937615249105;10/1/2016;239;5572-2016-10-01;-17.54;14.77;499.924.819.641.128;-141.820.089.563.933;116.797.373.430.721;-141.820.089.563.933;0.0859555555555555;Pregnant
5572;4;-17.64;14.43;yes;3;2;9.4;7.3;6/7/2016;2/1/2017;;9.83;0.0130937615249105;9/18/2016;239;5572-2016-09-18;-17.64;14.43;499.189.440.973.967;-141.522.281.179.294;103.653.914.029.027;-141.522.281.179.294;-0.184661111111111;Pregnant
5572;5;-17.65;14.18;yes;3;2;9.4;7;6/7/2016;2/1/2017;;9.83;0.0130937615249105;9/10/2016;239;5572-2016-09-10;-17.65;14.18;487.785.961.669.557;-139.835.108.464.596;95.095.837.825.901;-139.835.108.464.596;-0.193034126984127;Pregnant
5572;6;-17.79;14.06;yes;3;2;9.4;6.6;6/7/2016;2/1/2017;;9.83;0.0130937615249105;8/30/2016;239;5572-2016-08-30;-17.79;14.06;471.151.746.639.085;-138.210.361.021.291;849.990.123.011.751;-138.210.361.021.291;-0.156092063492064;Pregnant
5572;7;-17.83;14.06;yes;3;2;9.4;6.2;6/7/2016;2/1/2017;;9.83;0.0130937615249105;8/22/2016;239;5572-2016-08-22;-17.83;14.06;468.094.248.879.696;-138.361.043.278.424;760.825.133.394.284;-138.361.043.278.424;-0.194227272727273;Pregnant
5572;8;-17.77;14.24;yes;3;2;9.4;5.8;6/7/2016;2/1/2017;;9.83;0.0130937615249105;8/14/2016;239;5572-2016-08-14;-17.77;14.24;470.795.315.809.862;-138.579.931.192.896;680.990.375.839.753;-138.579.931.192.896;-0.218672915972916;Pregnant
5572;9;-17.94;14.34;yes;3;2;9.4;5.3;6/7/2016;2/1/2017;;9.83;0.0130937615249105;8/5/2016;239;5572-2016-08-05;-17.94;14.34;469.371.483.196.321;-138.902.130.887.103;591.668.783.023.319;-138.902.130.887.103;-0.256196428571429;Pregnant
5572;10;-17.9;14.52;yes;3;2;9.4;4.9;6/7/2016;2/1/2017;;9.83;0.0130937615249105;7/29/2016;239;5572-2016-07-29;-17.83;14.605;456.367.614.221.214;-1.368.687.190.339;527.044.841.004.329;-1.368.687.190.339;-0.261413780663781;Pregnant
5572;11;-17.76;14.69;yes;3;2;9.4;4.5;6/7/2016;2/1/2017;;9.83;0.0130937615249105;7/23/2016;239;5572-2016-07-23;-17.68;14.925;448.745.991.559.797;-137.456.337.984.743;46.746.513.201.484;-137.456.337.984.743;-0.279217424242424;Pregnant
5572;12;-17.6;15.16;yes;3;2;9.4;4.1;6/7/2016;2/1/2017;;9.83;0.0130937615249105;7/18/2016;239;5572-2016-07-18;-17.6;15.16;448.305.635.394.531;-138.078.430.965.653;412.198.895.180.446;-138.078.430.965.653;-0.295515909090909;Pregnant
5572;13;-17.55;15.75;yes;3;2;9.4;3.6;6/7/2016;2/1/2017;;9.83;0.0130937615249105;7/11/2016;239;5572-2016-07-11;-17.49;15.865;454.243.210.784.495;-140.006.939.762.299;348.305.260.098.174;-140.006.939.762.299;-0.277888888888889;Pregnant
5572;14;-17.43;15.98;yes;3;2;9.4;3.1;6/7/2016;2/1/2017;;9.83;0.0130937615249105;7/5/2016;239;5572-2016-07-05;-17.52;16.12;462.123.928.226.729;-136.466.256.669.366;289.346.792.960.636;-136.466.256.669.366;-0.32267803030303;Pregnant
5572;15;-17.61;16.26;yes;3;2;9.4;2.5;6/7/2016;2/1/2017;;9.83;0.0130937615249105;6/29/2016;239;5572-2016-06-29;-17.64;16.16;446.300.429.009.024;-133.810.721.049.673;22.412.460.903.782;-133.810.721.049.673;-0.278327272727273;Pregnant
5572;16;-17.67;16.06;yes;3;2;9.4;2.1;6/7/2016;2/1/2017;;9.83;0.0130937615249105;6/25/2016;239;5572-2016-06-25;-17.735;16.1;431.536.282.193.799;-131.460.231.620.675;183.545.477.823.582;-131.460.231.620.675;-0.298916666666667;Pregnant
