"","SealID","Segment","d13C","d15N","Nubbin","WhiskerRow","WhiskerColumn","LengthRecovery","DistanceFromTip","DeploymentDate","RecoveryDate","X","Linf","k","DateWhenSegmentGrew","DeploymentDuration","SealDate","SevenDayAvg_d13C","SevenDayAvg_d15N","Lat","Lon","DaysSinceDeployment","Lon360","FiveDayDriftRate","ReprState"
"44","3960",14,-17.51,13.81,"yes",3,2,9,2.7,2015-06-04,2016-02-02,"",9.83,0.0101718868821011,2015-07-05,243,"3960-2015-07-05",-17.57,13.82,45.2805826977915,-144.095848433039,31.570121006549,-144.095848433039,-0.337154761904762,"Pregnant"
"45","3960",15,-17.63,13.83,"yes",3,2,9,2.3,2015-06-04,2016-02-02,"",9.83,0.0101718868821011,2015-06-30,243,"3960-2015-06-30",-17.63,13.83,45.1385296455506,-139.39739282132,26.2039772400812,-139.39739282132,-0.291333333333333,"Pregnant"
"46","3960",1,-17.38,14.26,"yes",3,2,9,7.9,2015-06-04,2016-02-02,"",9.83,0.0101718868821011,2015-11-11,243,"3960-2015-11-11",-17.38,14.26,46.0547289742053,-156.369667183489,160.040998303554,-156.369667183489,0.096,"Pregnant"
"47","3960",2,-17.61,13.66,"yes",3,2,9,7.5,2015-06-04,2016-02-02,"",9.83,0.0101718868821011,2015-10-23,243,"3960-2015-10-23",-17.61,13.66,46.2933442937987,-162.173685111407,141.524447063464,-162.173685111407,0.0418833333333333,"Pregnant"
"48","3960",3,-17.7,13.4,"yes",3,2,9,7.1,2015-06-04,2016-02-02,"",9.83,0.0101718868821011,2015-10-07,243,"3960-2015-10-07",-17.7,13.4,46.7201394653481,-164.142614629391,125.948837203113,-164.142614629391,-0.09675,"Pregnant"
"49","3960",8,-17.32,13.72,"yes",3,2,9,5.1,2015-06-04,2016-02-02,"",9.83,0.0101718868821011,2015-08-14,243,"3960-2015-08-14",-17.32,13.72,43.0409120288291,-169.265637621715,71.915244451099,-169.265637621715,-0.2774,"Pregnant"
"50","3960",9,-17.32,13.69,"yes",3,2,9,4.7,2015-06-04,2016-02-02,"",9.83,0.0101718868821011,2015-08-06,243,"3960-2015-08-06",-17.32,13.69,43.5427137917953,-169.252800935086,63.9343793844928,-169.252800935086,-0.284342857142857,"Pregnant"
"51","3960",6,-17.32,13.71,"yes",3,2,9,5.9,2015-06-04,2016-02-02,"",9.83,0.0101718868821011,2015-09-02,243,"3960-2015-09-02",-17.32,13.71,44.4409924827373,-166.586891947874,90.1307219500371,-166.586891947874,-0.243310714285714,"Pregnant"
"52","3960",7,-17.33,13.68,"yes",3,2,9,5.5,2015-06-04,2016-02-02,"",9.83,0.0101718868821011,2015-08-23,243,"3960-2015-08-23",-17.33,13.68,44.1701428895097,-167.984539488576,80.6017016948318,-167.984539488576,-0.263521428571429,"Pregnant"
"53","3960",12,-17.4,13.73,"yes",3,2,9,3.5,2015-06-04,2016-02-02,"",9.83,0.0101718868821011,2015-07-17,243,"3960-2015-07-17",-17.415,13.74,44.8249525131931,-155.48946981365,43.2701133137334,-155.48946981365,-0.334760989010989,"Pregnant"
"54","3960",13,-17.43,13.75,"yes",3,2,9,3.1,2015-06-04,2016-02-02,"",9.83,0.0101718868821011,2015-07-11,243,"3960-2015-07-11",-17.47,13.78,45.6170519734084,-149.785786516108,37.246166310509,-149.785786516108,-0.259964285714286,"Pregnant"
